Name,url,team
Giovanni Sio,/fr/player/183389/giovanni-sio/,Montpellier HSC
Max-Alain Gradel,/fr/player/182945/max-alain-gradel/,Toulouse FC
Régis Gurtner,/fr/player/176994/r%C3%A9gis-gurtner/,Amiens SC
Jérémy Morel,/fr/player/139860/j%C3%A9r%C3%A9my-morel/,OL
Jimmy Briand,/fr/player/134779/jimmy-briand/,Girondins de BX
Ismaïla Sarr,/fr/player/235353/isma%C3%AFla-sarr/,Stade Rennais
Christopher Nkunku,/fr/player/232411/christopher-nkunku/,Paris
Benjamin Henrichs,/fr/player/228579/benjamin-henrichs/,AS Monaco
Ellyes Skhiri,/fr/player/225126/ellyes-skhiri/,Montpellier HSC
François Kamano,/fr/player/224218/fran%C3%A7ois-kamano/,Girondins de BX
Danilo,/fr/player/223517/danilo/,OGC Nice
Jean-Eudes Aholou,/fr/player/220905/jean-eudes-aholou/,AS Monaco
Walter Benítez,/fr/player/215223/walter-ben%C3%ADtez/,OGC Nice
Thiago Mendes,/fr/player/213874/thiago-mendes/,LOSC
Alexander Djiku,/fr/player/212219/alexander-djiku/,SM Caen
Kwon Chang Hoon,/fr/player/211927/kwon-chang-hoon/,Dijon FCO
Moussa Dembélé,/fr/player/211591/moussa-demb%C3%A9l%C3%A9/,OL
Moussa Konaté,/fr/player/211321/moussa-konat%C3%A9/,Amiens SC
Christophe Hérelle,/fr/player/208449/christophe-h%C3%A9relle/,OGC Nice
Naïm Sliti,/fr/player/205257/na%C3%AFm-sliti/,Dijon FCO
Bernat,/fr/player/205069/bernat/,Paris
Kenny Lala,/fr/player/204105/kenny-lala/,RC Strasbourg
Thomas Monconduit,/fr/player/203128/thomas-monconduit/,Amiens SC
Jesé,/fr/player/202515/jes%C3%A9/,Paris
Anthony Limbombe,/fr/player/201938/anthony-limbombe/,FC Nantes
Jonas Martin,/fr/player/197813/jonas-martin/,RC Strasbourg
Paul Lasne,/fr/player/192242/paul-lasne/,Montpellier HSC
Yannis Salibur,/fr/player/190014/yannis-salibur/,ASSE
Ronny Rodelin,/fr/player/188397/ronny-rodelin/,EA Guingamp
Ganso,/fr/player/187688/ganso/,Amiens SC
Younousse Sankharé,/fr/player/184271/younousse-sankhar%C3%A9/,Girondins de BX
Romain Thomas,/fr/player/184190/romain-thomas/,Angers SCO
Nolan Roux,/fr/player/183982/nolan-roux/,EA Guingamp
